1.000000	0.001106
0.950000	0.385425
0.900000	0.081170
0.800000	0.009026
0.700000	0.169732
0.600000	0.865455
0.500000	0.120828
0.400000	0.060029
0.300000	0.175302
0.200000	0.054146
0.150000	0.802580
0.100000	0.042397
0.075000	0.046059
0.050000	0.048294
0.025000	0.024529
0.012500	0.017578
0.000000	0.253923
0.012500	-0.002502
0.025000	-0.024529
0.050000	-0.157670
0.075000	-0.038124
0.100000	-0.048256
0.150000	-0.172876
0.200000	-0.052918
0.300000	-0.121011
0.400000	-0.372012
0.500000	-0.042641
0.600000	-0.054169
0.700000	-0.169916
0.800000	-0.345576
0.900000	-0.003044
0.950000	-0.010269
1.000000	-0.001442
