1.000000	0.188715
0.950000	0.072770
0.900000	0.016655
0.800000	0.033196
0.700000	0.115220
0.600000	0.053132
0.500000	0.118813
0.400000	0.302683
0.300000	0.058281
0.200000	0.021553
0.150000	0.032555
0.100000	0.041176
0.075000	0.787154
0.050000	0.157434
0.025000	0.528347
0.012500	0.025940
0.000000	0.000000
0.012500	-0.002594
0.025000	-0.016716
0.050000	-0.126405
0.075000	-0.038124
0.100000	-0.292361
0.150000	-0.055870
0.200000	-0.045113
0.300000	-0.308329
0.400000	-0.046204
0.500000	-0.062203
0.600000	-0.053132
0.700000	-0.045891
0.800000	-0.000717
0.900000	-0.128045
0.950000	-0.014176
1.000000	-0.001015
